EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA)
3번이 맞다.,The correct answer is number 3.,3番が合ってる。
경찰이 그 사건을 조사하고 있어요.,The police are investigating the incident.,警察がその事件を調査しています。
오늘은 테니스 칠 힘이 없어.,I don't have the energy to play tennis today.,今日はテニスやる力がない。
그 사람은 항상 자기 얘기만 한다.,She always talks only about herself.,その人はいつも自分の話ばかりする。
우리나라에서는 태어나면 바로 한 살이에요. ,"In my country, we are regarded as being one year old as soon as we're born.",我が国では生まれれば既に一歳です。 
배에서 배를 먹었더니 배가 아파요.,I developed a stomachache after I ate the pear in the ship.,船で梨を食べたらお腹が痛くなりました。
이 시간이 모두 함께 모일 수 있는 좋은 기회야.,This time is a good chance to get all together.,この時間が皆一緒に集まることができる良い機会だ。
사용한 후에 물건들을 돌려줘.,Give the stuff back after using it.,使った後物を返して。
"와, 공부할 게 많네요.",Wow! There's a lot to study.,"わ, 勉強する事が多いですね。"
하늘에 저 작은 빛은 뭐지?,What's that little light in the sky?,空にあるあの小さな光は何なの?
혜안이 전화했었다고 전해 주세요.,Please tell him Hyean called.,ヘアンが電話したと伝えてください。
디지털 카메라에는 필름이 필요 없어요.,You don't need film with a digital camera.,デジタルカメラにはフィルムがいらないよ。
한국은 여름에 굉장히 더워요.,Korea is very hot in the summer.,韓国は夏にとても暑いです。
배고파서 죽겠어요.,I am so hungry. I can eat a horse.,お腹がすいてたまらないです。
니 신발 젖었네. 내 신발 신어.,"Your shoes are wet, put on my shoes.",お前の靴は濡れている。 私の靴をはけ。
10분 후에 다시 전화할게.,I'll call you back ten minutes later.,10分の後にまた電話するからね
우리 집은 서울 중심에 있다.,My house is located in the center of Seoul.,我家はソウルの中心にある。
이번 달에는 언제 보름달을 볼 수 있어요?,When can we see a full moon this month?,今月にはいつ満月を見られますか?
아빠는 언제 돌아와?,When is Dad coming back?,パパはいつ帰って来る?
불 껐니?,Did you put out the fire? (or Did you switch off the light?),火消したの? (or 電気消したの?)
물 반 컵을 넣고 섞으세요.,Mix in half a cup of water.,水半カップを入れて交ぜてください。
내가 제일 좋아하는 가수는 조용필이다.,My favorite singer is Yongpil Jo.,私が一番好きな歌手は趙容弼だ。
부끄러워하지 마. 그냥 자연스럽게 행동해.,Don't be shy. Just act natural.,恥ずかしがるな。 ただ自然に行動しろ。
나도 정말 배가 고파.,"I'm really hungry, too.",私も本当にお腹がすいている。
그녀는 차 사고로 부모님을 잃었다.,She lost her parents in a car accident.,彼女は車の事故でご両親を失った。
요즘은 거의 모든 가정에 인터넷이 연결되어 있어요. ,Almost every home is hooked up to the internet now.,この頃はほとんどの家庭にインターネットが繋がれています。 
"에어컨을 켰으니, 시원해질 거야.","With the air conditioner on, it is going to be cool.","エアコンをつけたから, 凉しくなるだろう。"
쇼핑하러 백화점 가자.,Let's go shopping at the department store.,ショッピングしにデパート行こう。
회사를 그만둔다고요?,You're quitting the company?,会社をやめるんだって?
나는 허리가 길고 다리가 짧다.,I have a long torso and short legs.,私は腰が長くて足が短い。
한글은 자음 14개로 되어 있어요. ,Hangeul has fourteen consonants and ten vowels.,"ハングルは子音14個, 母音10個で成り立っています。 "
언니가 있었으면 좋았을 텐데.,I wish I had an older sister.,お姉さんがいたら良かったでしょうに。
이번엔 제대로 좀 해 보자. ,Let's get it right this time.,今度はまともにやろう。 
우리 반은 남학생보다 여학생이 많아. ,My class has more female students than male students.,うちのクラスは男子学生より女学生が多い。 
커피를 마시면 밤에 잠이 안 와요.,I can't sleep at night if I drink coffee.,コーヒーを飲むと夜眠れません。
나는 노래를 잘 못해요.,I am poor at singing.,私は歌が下手です。
이 옷 나한테 맞을까? ,Do you think these clothes will fit me?,この服私に合うかな? 
그 음주 운전자는 결국 사고를 냈다.,The drunk driver finally got a car accident.,その飲酒運転手は結局事故を起こした。
캐나다의 수도가 어디죠?,What's the capital of Canada?,カナダの首都はどこですか?
의자가 열 개밖에 없어요.,There are only ten chairs.,椅子が十個しかないです。
가방 속은 봤어?,Have you looked inside your bag?,かばんの中は見た？
길 건너자.,Let's cross the street.,道を渡ろう。
저 노래를 들으니 옛날 생각이 나.,That song reminds me of the old days.,あの歌を聞くと昔を思い出す。
사과 좀 깎아 줘.,Please peel me an apple.,りんごをちょっと剥いて。
나머지 세 강의는 각각 한 시간씩이야. ,The other three classes are one hour each.,殘った三講義は各々一時間ずつだ。 
"나한테 묻지 마, 그냥 대답해.","Don't ask me, just answer.","私にきかないで, ただ答えろ。"
거의 끝나갑니다. ,It's almost finished.,ほとんど終わりました。 
나는 물 없이는 살아도 음악 없이는 못 살아.,"I can live without water, but I can't live without music.",私は水なしには暮しても音楽なしには暮す事ができなく。
내 새해 계획은 운전을 배우는 거예요.,My new year's resolution is to learn how to drive.,私の新年計画は運転を習う事です。
이거 어떻게 그렸어?,How did you draw this?,これどうやって描いたの?
"15세에, 그는 대학에 들어갔다.","At the age of 15, he entered university.","15歳で, 彼は大学に入った。"
이 거리에는 차가 많다.,There are many cars in this street.,この通りには車が多い。
이 오렌지 신선한 건가요? ,Are these oranges fresh?,このオレンジ新鮮なんですか? 
나는 와인 한 병을 다 마신 후 운전을 했다.,I drank a whole bottle of wine and drove.,私はワイン一本を飲み干した後運転をした。
먹을 게 하나도 안 남았어.,There's no food left over.,食べ物が一つも残らなかった。
언제 만날까?,When would you like to meet?,いつ会おうか?
걱정 말고 좀 쉬어.,Stop worrying and take a break.,心配せずにちょっと休んで。
"시간 안에 갚을게, 물론, 현금으로.","I'll pay you back in time, of course, it'll be in cash.","時間内に返す, 勿論, 現金で。"
"어떤 경우에, 저는 성급하게 결론을 내립니다.","In some cases, I tend to jump to conclusions.","場合によっては, 私は性急に結論を下します。"
어떤 음식을 즐겨 먹어요? ,What kind of food do you enjoy?,どんな料理を好んで食べますか? 
부모님은 내가 의사가 되길 바라셨죠.,My parents wanted me to become a doctor.,両親は私に医者になってほしかったんです。
그렇습니다.,"Yes, it is.",そうです。
절대로 다시 그 일을 하지 않을 거야.,I'll never do that again.,絶対に又とはその仕事をしないつもりだ。
과천에 있는 국립박물관 가 봤어?,Have you been to the national museum in Kwacheon?,果川にある国立博物館行って見たの?
한 시간 뒤에 꽃에 물을 줘라.,Water the flowers in an hour.,一時間後に花に水を与えなさい。
여기에 도장을 찍으세요.,Stamp your seal here.,ここにはんこを押してください。
예전 대통령들 중에서 제일 좋아하는 사람은 누구야?,Who was your favorite past president?,元大統領たちの中で一番好きな人は誰か?
다른 넥타이를 매는 게 어때?,How about wearing another necktie?,他のネクタイをするのはどう?
15분 안에 도착할 거예요.,I will be there within 15 minutes.,15分以内に到着するんです。
다리를 꼬고 저기에 앉아 있는 사람이 누구예요?,Who is the girl sitting with her legs crossed over there?,足を組んであそこに座っている人は誰ですか?
여러 나라를 여행하고 싶어. ,I'd like to travel to many countries.,多くの国を旅行したい。 
저쪽 구석에 놓으세요. ,Put it down in that corner over there.,あちらのすみにおいてください。 
볼펜 있어?,Do you have a ballpoint pen?,ボールペンある?
가능하다면 내일 오세요.,"Come tomorrow, if possible.",できれば明日来てください。
컵에 립스틱 자국이 남아 있었다.,There was a smudge of lipstick on the cup.,コップに口紅の跡が残っていた 
저는 부모님과 사이가 좋아요.,I have a good relationship with my parents.,私は両親と仲が良いです。
운동장에서 뛰고 있는 저 여자 애 말이야?,You mean the girl running on the playground?,運動場で走っているあの女の子?
스스로 해결책을 찾아봐라.,Figure out the solution by yourself.,自ら解決策を捜してみなさい。
물이 이렇게 깊은 줄 몰랐어요.,I didn't know that the water was so deep.,水がこんなに深いとは思わなかったです。
좀 더 천천히 말씀해 주세요.,"Speak a little more slowly, please.",もうちょっとゆっくりおっしゃってください。
여기서 멀지 않아.,It's not far from here.,ここから遠くない。
결혼하고 나서 자유를 잃었다고 생각하세요?,Do you feel you lost your freedom after getting married?,結婚してから自由を失ったと思いますか?
대학 졸업하고 뭐 할 거야?,What do you plan to do after you graduate from university?,大学卒業して何をするつもり?
건강한 신체에 건전한 정신,A sound mind in a sound body,健康な身体に健全な精神
수업 중에 떠들지 마라.,Don't chat during class.,授業中に騷ぐな。
이 생선 엄청 짜네.,This fish tastes pretty salty.,この魚すごく塩辛いのね。
그렇게 큰 문제가 발생했는지 누구도 몰랐다.,No one knew such a big problem would occur.,そんなに大きい問題が発生した事を誰も分からなかった。
"같이 갈래? - 어, 그래.","Why not come along? - Oh, OK.","一緒に行く? - うん, そうだね。 "
한 그릇에 5천 원입니다.,"This costs 5,000 won per bowl.",一杯に五千ウォンです。
이 목걸이가 널 보호해 줄 거야.,This necklace will protect you.,このネックレスが君を保護してくれるだろう。
여기 잠깐 계세요.,Stay here for a moment.,ここでちょっとお待ちください。
커피에 설탕 넣니?,Do you take sugar in your coffee?,コーヒーに砂糖入れるの?
그녀는 가정적인 남자를 찾고 있다.,She is looking for a family man.,彼女は家庭的な男を探している。
왜 그렇게 빨리 걷는 거야? ,Why are you walking so fast?,どうしてそのように早く歩くのか? 
거 참 이상하네.,That's really strange.,まったく変だね。
더 이상은 안 돼. 최대한 빨리 가고 있다고.,I can't hurry up. I'm going as fast as I can.,これ以上は無理だ。 最高に速く行っているんだ。
이 편지를 우체통에 넣어야 하거든요. ,I have to put this letter in a mailbox.,この手紙をポストに入れなければならないんですよ。 
우리는 공통점이 많다.,We have much in common.,私たちは共通点が多い。
그 일을 마치는 데 시간이 많이 들었어요.,It took me a lot of time to finish the work.,その事を終えるのに時間がたくさんかかったんです。
실례지만 제가 창문 쪽 자리인 것 같은데요. ,"Excuse me, but I think I have the window seat.",失礼ですが私が窓側の席のようですよ。 
언제나 네가 원하는 것을 얻을 수는 없다.,You can't always get what you want.,いつも君が願うことを得ることはできない。
이제 햄버거 지겨워!,Now I'm sick of hamburgers.,もうハンバーガーは飽き飽きした!
혜안의 눈은 정말 커다랗다.,Hyean's eyes are really big.,ヘアンの目は本当に大きい。
저희 은행에 계좌를 갖고 계신가요? ,Do you have an account with our bank?,当銀行に口座を持っていらっしゃるんでしょうか? 
나랑 결혼해 줄래?,Will you marry me?,私と結婚してくれるか?
제가 한번 해 볼게요.,Let me have a try.,私が一度やって見ますよ。
포도가 너무 시어.,The grapes are too sour.,ぶどうがとても酸っぱい。
맛이 어때?,How's the taste?,味どう?
내가 이 일을 맡을게.,I'll take care of this job.,私がこの事を引き受ける。
이 근처에 버스 정류장이 있습니까? ,Is there a bus stop near here?,この近くにバス停がありますか? 
너 벌써 술 많이 마신 것 같은데.,I think you have had enough alcohol.,お前既に酒たくさん飲んだようだが。
우리 엄마는 혼자서 두 아이를 길렀다.,My mom raised two children by herself.,うちの母は一人で二人の子供を育てた。
나 오늘 방학 숙제를 해야 해 .,I have to do this vacation homework today.,私今日休みの宿題をしなければならない 。
그 사람은 교통사고를 당해서 목에 깁스를 했다.,He was involved in a car accident and now his neck is in a cast.,その人は交通事故にあって首にギプスをした。
나는 구두 공장에서 일했어.,I worked in a shoe factory.,私は靴工場で働いたの。
잠시 생각 좀 할게요.,Let me think for a while.,少し考えさせて下さい。
몇 분이세요? - 세 사람이요.,How many in your party? - Three.,何名様ですか?- 三人です。
식사하고 30분 후에 이 약을 드세요.,Take this pill 30 minutes after meals.,食事して 30分後にこの薬を召し上がってください。
왜 얼굴이 갑자기 빨개지니?,Why is your face suddenly turning red?,どうして顔が急に赤くなるの?
담배를 계속 피우면 젊은 나이에 죽을지도 몰라.,Keep smoking and you'll probably die young.,タバコをずっと吸えば若い年で死ぬかも知れない。
그 사람 전화는 왜 항상 통화중이야?,Why is her line always busy?,その人の電話はどうしていつも通話中なの?
나는 집에 오자마자 손을 씻었다.,"As soon as I came home, I washed my hands.",私は家へ来るやいなや手を洗った。
"아차, 깜박 잊어버렸어. ","Oh, I completely forgot.","しまった, うっかり忘れてた。 "
제 이메일 주소를 알려 드릴게요. ,I'll give you my e-mail address.,私のメールアドレスをお教えします。 
"아, 이런!","Ah, no!","あ, こんなことって!"
갑자기 날씨가 추워지고 있어.,It's getting cold suddenly.,急に気候が寒くなってきた。
안으로 들어오세요.,Please come in. ,中にお入りなさい。
스키 여행은 눈 때문에 취소되었다.,Our ski trip has been canceled because of the snow.,スキー旅行は雪のため取り消しされた。
뒤에서는 그가 누구인지 알 수 없었다.,From the back I couldn't tell who he was.,後からでは彼が誰なのか分からなかった。
지도를 보면서 알려드릴게요.,I'll show you on the map.,地図を見ながらお教えしましょう。
아이들이 놀이터에 모였다.,The children gathered on the playground.,子供達が遊び場に集まった。
선생님은 결과보다 과정을 강조하셨어.,My teacher emphasized process over results.,先生は結果より過程を強調された。
아이들이 팽이를 돌리면서 놀고 있다.,Children are playing by spinning a top.,子供達がこまを回しながら遊んでいる。
그거 끝나면 나한테 알려 줘.,Let me know when you finish it.,それ終わったら私に知らせてくれ。
내 자동차 열쇠를 잃어버렸어. ,I've lost my car keys.,私の自動車の鍵を失くしてしまったの。 
구두 닦아주세요.,Please shine my shoes.,靴を磨いてください。
그 뮤지컬 공연은 훌륭했다.,The musical performance was excellent.,そのミュージカル公演は立派だった。
"아빠, 저 이 카메라 사 주세요.","Dad, please buy me this camera.","パパ, 僕にこのカメラ買ってください。"
낯선 사람이 우리 동네를 돌아다니고 있었다.,A stranger was wandering through our village.,見知らぬ人が私たちの町内を歩き回っていた。
니가 원한다면 그거 할게.,I'll do it if you want.,お前が望むならそれやるよ。
이 노란색 모자는 너와 잘 어울린다.,This yellow hat suits you well.,この黄色い帽子はお前によく似合う。
나는 일 년에 두 번 해외에 간다.,I go abroad twice a year.,私は一年に二度海外へ行く。
이 빨래는 몇 번 헹궈야 하죠? ,How many times should I rinse this laundry?,この洗濯は何回濯がなければならないでしょう? 
내가 특별히 준비할 거 있어?,Is there anything special that I should prepare?,私が特別に準備することある?
나는 감기에 걸리면 코로 숨을 못 쉰다.,I can't breath through my nose when I catch a cold.,私は風邪をひくと鼻で息をする事ができない。
늦어서 죄송합니다.,Sorry I'm late.,遅れて申し訳ありません。
저는 하루에 두 번 샤워를 해요.,I take a shower twice a day.,私は一日に二度シャワーをします。
어렸을 때는 목욕탕에 잘 다녔다.,"When I was young, I used to go to a public bath.",幼い頃は風呂場によく通った。
기름 가격이 또 올랐네.,The price of gasoline has gone up again.,油の価格がまた上がったな。
누군가 내 이름을 부르는 소리를 들었다.,I heard someone calling my name.,誰かが私の名前を呼ぶ声がした。
아버지는 아침 일찍 서울로 가셨다.,My father went to Seoul early in the morning.,お父さんは朝早くソウルに行かれた。
겨울에 친구들이랑 바다에 가고 싶어요.,I would like to go to the sea with my friends in the winter.,冬に友達と海へ行きたいです。
아기가 자꾸 울어서 데리고 나왔어요. ,"My baby kept crying, so I took her out.",赤ちゃんがしきりに泣くので連れて出たんです。 
체스에서 컴퓨터가 인간을 이겼어요. ,The computer defeated the human in the chess.,チェスでコンピューターが人間に勝ったんです。 
냉장고에 계란이 몇 개 있어요? ,How many eggs are there in the refrigerator?,冷蔵庫に卵がいくつありますか? 
왜 그랬니?,Why did you do that?,どうしてそうしたの?
내 아내는 내가 꿈꾸던 바로 그 사람이다.,My wife is the one I've dreamed of all my life.,私の妻は私が夢見たまさにその人だ。
제 소개를 하겠습니다.,Let me introduce myself.,私の紹介をします。
누구세요?,Who are you?,どなたですか?
우리 집의 창문은 동쪽으로 향해 있다.,The window of our house faces east.,我家の窓は東方を向いている。
매우 추워요.,It's very cold.,非常に寒いです。
비누는 피부를 건조하게 만들어요.,Soap makes my skin dry.,せっけんは肌を乾燥させます。
모두 다 왔을 때 파티는 거의 다 끝나 있었다.,The party was almost finished when we all arrived.,皆が来た時パーティーはほとんど終わりに近かった。
의사에게 진찰받아 봤니?,Have you been to the doctor?,医者に診察受けて見たの?
함께 일하게 되어서 기뻐요. ,I'm glad that we'll be working together.,一緒に働けて嬉しいです。 
저 사람 좀 보세요.,Look at that man over there.,ちょっとあの人見てください。
신용카드가 때로는 교통카드 기능을 한다.,Sometimes credit cards can also function as a travel pass card.,クレジットカードが時には交通カードの機能をする。
거울 좀 그만 봐라.,Stop looking in the mirror.,鏡見るのそれ位になさい。
채소에 소금을 뿌려라.,Sprinkle salt on the vegetables.,野菜に塩を振り掛けなさい。
"좋아, 하지만 이번 한 번만이야. ","All right, but just this once.","よし, しかし今度一度だけだ。 "
우리 집은 학교에서 가깝다.,My house is near my school.,我家は学校から近い。
길에서 그 사람과 내 눈이 마주쳤어.,His eyes met mine on the street.,道でその人と私の目があったの。
확실해? 마지막 순간에 마음 바꾸면 안 돼! ,Are you sure? Don't change your mind at the last moment.,本当に? 最後の瞬間に気変わりするのなしよ! 
경찰에 전화는 했어?,Did you call the police?,警察に電話はしたの?
스트레스를 줄이려면 마사지를 받아라.,Get a massage to reduce your stress.,ストレスを減らそうとするならマッサージを受けなさい。
혼자 여행하고 있어요.,I'm traveling alone.,一人で旅行しています。
여동생이 축구하는 걸 보고 있어.,I'm watching my sister play soccer.,妹がサッカーをするのを見ている。
부모님께 용돈은 드리세요?,Do you give pocket money to your parents?,ご両親に小遣いは差し上げますか?
내 손을 잡아요.,Hold my hand.,私の手を握ってください。
하려고 했는데 못 했어요. ,"I was going to do it, but I couldn't.",しようと思ったのですができませんでした。 
한국에서는 빨간색이 죽음을 의미해.,"In Korea, red means death.",韓国では赤色が死を意味する。
저는 피부가 건조한 편이에요.,My skin is rather dry.,私は肌が乾燥している方です。
달력을 한 장 넘겼다.,I turned the page of the calendar.,カレンダーを一枚めくった。
이 노래 지난달에 나왔어.,This song was released last month.,この歌先月に出たの。
한국에 온 지 얼마나 됐어요?,How long have you been in Korea?,韓国へ来てからどのくらいたちますか?
밥 좀 더 드실래요?,How about some more rice?,ご飯もう少し召し上がりますか?
자동차에 또 문제가 있어요?,Do you have problems with your car again?,自動車にまた問題がありますか?
혜안은 완벽한 남편을 원한다.,Hyean wants a perfect husband.,へアンは完璧な夫を望む。
이 기계 고장 난 것 같아.,This machine seems to be broken.,この機械故障したようなの。
너희 오빠는 안경을 쓰니? ,Does your brother wear glasses?,君のお兄さんはめがねをかけてるの? 
하루에 담배를 얼마나 피우세요?,How many cigarettes do you smoke a day?,一日にタバコをどれ位吸われますか?
어느 부분이 제일 아프세요?,Which part hurts the most?,どの部分が一番痛いですか?
무슨 일이 있었는지 설명해 주시겠어요?,Can you explain what happened?,何があったのか説明してくださいませんか?
올 여름에는 부산을 여행하기로 했다.,I decided to travel to Busan this summer.,今年の夏には釜山を旅行する事にした。
껌이 머리에 붙었어.,I have gum stuck in my hair.,ガムが髪に付いた。
나는 비빔밥이 별로야.,I don't like bibimbap very much.,私はビビンパがあまり好きではない。
그거 어때? - 나쁘지 않네.,How's that? - Not bad.,それどう? - 悪くないね。
그분이 너를 아니?,Does he know you?,その方がお前を知っているのか?
"우유, 버터 그리고 잼이 필요해.","We need milk, butter and jam.","牛乳, バターそしてジャムが必要なの。"
요즘 몸은 좀 어때?,How do you feel these days?,このごろ身体の方はどう?
할 줄 아는 외국어가 있으세요?,Can you speak any foreign languages?,できる外国語がありますか?
너무 비싸지 않아?  더 싼 걸 찾아봐.,Isn't it too expensive? Look for something cheaper.,高過ぎない?  もっと安いのを捜してみて。
시내에서 엄마랑 점심 먹을 거야.,I'm going to meet my mom for lunch downtown.,市内でママとお昼食べるつもりだ。
나는 여름이 좋아. 여름에는 수영을 할 수 있으니까.,I love summer because I can go swimming.,私は夏が好き。 夏には水泳ができるから。
이 도시는 살기 좋은 곳이다.,This city is a good place to live.,この都市は住みやすい所だ。
거기에서 보자.,See you there.,そこで会おう。
잠자기 전에 이를 닦아라.,Brush your teeth before sleeping.,眠る前に歯を磨きなさい。
점심시간은 한 시간이다.,We have an hour-long lunch break.,昼休みは一時間だ。
오늘 안으로 일을 다 끝내야 해.,We have to finish all the work today.,今日中に仕事を全て終えなけねばならない。
"오랜 대화 끝에, 그들은 헤어지기로 결정했다.","After a long talk, they decided to break up.","長年の対話の末, 彼らは別れることに決めた。"
우리 엄마는 중학교 미술 선생님이야.,My mom teaches art at a junior high school.,うちのママは中学校の美術の先生だ。
일만 하지 말고 좀 놀아라.,Stop working sometimes and have fun.,仕事ばかりしないでちょっと遊べ。
기숙사 생활은 어때?,How's life in your dormitory?,寮生活はどう?
책을 도서관에 반납하세요.,You should return those books to the library.,本を図書館に返してください。
이 바닐라 아이스크림은 내가 가장 좋아하는 맛이다.,Vanilla is my favorite ice cream flavor.,このバニラアイスクリームは私が一番好きな味だ。
치약을 중간부터 짜지 마라.,Don't squeeze the toothpaste in the middle.,歯磨き粉を真ん中から絞らないで。
학교에 또 늦은 거야?,Were you late for school again?,学校にまた遅れたのか?
나 너무 불안해서 참을 수가 없어. ,I am so nervous I barely stand it.,私とても不安で堪えることができない。 
문 잠그세요.,Lock the door.,ドアにカギをかけてください。
창문 좀 닫아라.,Close the window.,窓ちょっと閉めなさい。
할머니가 어젯밤 돌아가셨어요.,My grandmother passed away last night.,お婆さんが昨晩お亡くなりになったんです。
모자를 벗는 게 어때? ,Why don't you take off your hat?,帽子を脱いだらどう? 
나는 도시에서 운전하는 걸 좋아하지 않는다.,I don't like driving in the city.,私は都市で運転するのが好きではない。
어느 나라에 가고 싶어?,which country do you want to visit?,どの国へ行きたい?
먼저 가.,Go first.,先に行け。
열어 봐. 깜짝 선물이야. ,Open it up. It's a surprise gift.,開けてみろ。 びっくりプレゼントだ。 
우선 동생한데 물어봐야 해요.,I have to ask my brother(sister) first.,まず弟(妹)に訊いて見なければなりません。
내년에 발레 배우러 러시아에 갈 거야.,I am going to Russia to learn ballet next year.,来年バレーを学びにロシアへ行くつもりだ。
비를 맞으며 걸었더니 감기에 걸린 것 같아.,I think I caught a cold because I walked in the rain.,雨に打たれながら歩いたら風邪をひいたみたい。
조심해서 운전해라.,Drive carefully.,気を付けて運転しなさい。
언제 오세요?,When are you coming?,いついらっしゃいますか?
정말 미안해.,I'm so sorry.,本当にごめんね。
한복은 보통 언제 입어요?,When do you usually wear a hanbok?,韓服は普通いつ着ますか?
니 점수는 너무 낮아.,Your grades are too low.,お前の点数はとても低い。
도와주세요!,Please help me!,手伝ってください!
아직 결정하지 못했어요.,I haven't decided yet.,まだ決めてません。
엄마가 나한테 그림책을 사 주셨어.,My mom bought me a picture book.,ママが私に絵本を買ってくれたの。
그 가게는 열 시에 문을 연다.,The store opens at 10 A.M.,その店は十時に開く。
아이들은 운동장에서 놀고 있을 거야.,Kids probably play at the playground.,子供達は運動場で遊んでいるだろう。
그 호텔은 최고의 서비스로 알려져 있다.,The hotel is known for the best services.,そのホテルは最高のサービスで知られている。
한 달에 500달러요.,Five hundred dollars a month.,一月に五百ドルです。
눈이 녹아서 길이 굉장히 미끄러워졌어.,"As the snow melted, the roads became very slippery.",雪がとけて道がとても滑りやすくなった。
"믿기 싫으면, 나 믿지 마.",Don't believe me if you don't want to.,"信じたくなければ, 私を信じるな。"
너는 아무리 먹어도 살이 안 찌는구나.,"No matter how much you eat, you never gain a pound.",お前はいくら食べても太らないんだな。
핸드폰으로 인터넷 검색을 할 수 있어요.,You can do internet searches by cellphone.,携帯電話でインターネット検索ができます。
우리가 얼마나 걸어온 거죠? ,How far have we come on foot?,私たちはどれぐらい歩いてきたのでしょうか? 
어제 학교 갔었니? - 네.,Did you go to school yesterday? - Yes.,昨日学校行ったの? - はい。
흰색이 니 까만 피부랑 잘 어울려.,White goes with your dark skin tones.,白がお前の黒い肌によく似合う。
조심해서 배에서 내리십시오.,Please get off the ship carefully.,気を付けて船から降りてください。
이쪽으로 오세요.,Come this way.,こちらにどうぞ。
"좀 더 줄까? - 아니, 배불러.","Do you want some more? - No, I'm full.","もうちょっと食べる? - いや, 満腹なの。"
나는 고등학교 때 제2외국어로 일본어를 배웠다.,I learned Japanese as a second foreign language in high school.,私は高校の時第2外国語で日本語を学んだ。
대단한 뉴스라는 게 뭐야?,What's the big news?,すごいニュースって何?
안녕하세요? ,Hello? ,こんにちは。
그 사람은 영어를 아주 잘해.,He speaks English very well.,その人は英語がとてもお上手なの。
