EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA)
외국에서 태어났으면 좋았을 텐데.,I wish I had been born in a foreign country.,外国で生まれたら良かったでしょうに。
무슨 일이야? - 어제 점을 뺐어.,What happened to you? - I had a mole removed from my face yesterday. ,どうしたの? - 昨日ほくろを取ったの。
그 도시는 지난 20년 동안 빠르게 발달했다.,The city has developed rapidly over the past 20 years.,その都市は去る20年間急速に発達した。
현재 어떤 일을 하고 계세요? ,What do you do for a living now?,現在どんな仕事をしていらっしゃいますか? 
그 사람들 손을 잡고 걷고 있었어. 사귀는 게 분명해.,They are walking hand in hand. I'm sure they are dating.,彼ら手をつないで歩いていたの。 きっと付き合ってるのだ。
이거 얼마예요?,How much is this?,これいくらですか?
오늘 '누가 내 치즈를 옮겼을까?'라는 책을 읽었다.,"I read the book Who moved my cheese?"" today.""",今日 '誰が私のチーズを動かしたの？'という本を読んだ。
다음 주제로 넘어가는 건 어때요?,How about going on to the next topic?,次の主題に移るのはどうです?
영화 보러 자주 가세요? ,Do you often go to the movies?,映画見によく行かれますか? 
제1차 세계 대전,The First World War,第一次世界大戦
그의 모습은 어둠 속으로 사라졌다.,His figure disappeared into the darkness.,彼の姿は闇の中に消えた。
개를 기르고 싶어요.,I'd like to raise a dog.,犬を飼いたいです。
나는 결코 법을 어긴 적이 없다.,I've never broken the law.,私は決して法を破ったことがない。
이 단어는 두 가지 발음이 있어요.,There are two pronunciations of this word.,この単語は二つの発音があります。
나는 니가 실수로 물에 빠질까봐 걱정돼.,I'm worried that you'll fall in the water by accident.,私はお前が誤ってで水におぼれるのではないか心配になる。
무서운 영화 봤어요? 하나도 안 무서웠어요.,"Have you seen Scary Movie""? I was not scared at all.""""ave you seen ""Scary Movie""? I was not """"ve you seen ""Scary Movie""""e you seen """,恐ろしい映画 見ましたか? 全然怖くありませんでした。
나는 부모님으로부터 많은 재산을 물려받았다.,I inherited a huge property from my parents.,私はご両親から多くの財産を受け継いだ。
입에 음식을 넣고 말하지 마라.,Don't talk with your mouth full.,口に食べ物を入れたまま物を言うな。
어렵고 위험할 것 같은데.,That sounds difficult and dangerous.,難しくて危なそう。
문제를 일으킬 생각은 없었다.,I didn't mean to cause any trouble.,問題を起こすつもりはなかった 
아주 쉬워.,It's very easy.,とても易しい。
죄송한데 오늘 오렌지 주스가 없어요.,"Sorry, we have no orange juice today.",申し訳ありませんが今日オレンジジュースがありません。
"미안, 내가 공을 너무 세게 던졌어.","Sorry, I threw the ball too hard.","ごめん, ボールを強く投げすぎた。"
지하철에서 지갑을 잃어버렸어.,I lost my wallet on the subway.,地下鉄で財布をなくしてしまったの。
뭐 하나 물어봐도 돼?,Can I ask you a question?,ひとつ聞いて良い?
"자, 여러분, 시작해 볼까요.","Ok, everyone, let's get down to business.","さあ, 皆さん, 始めて見ましょうか。"
파티에 같이 갈래요?,Would you like to come along to the party?,パーティーへ一緒に行きますか?
당장 차 세워!,Pull the car over right now!,今すぐ車を止めろ!
이것들 전부 니가 요리한 거야?,Did you cook all these?,これら全部お前が料理したの?
오늘 걱정이 있어 보여요.,You look worried today.,今日何か心配そうに見えます。
이건 널 위한 작은 선물이야.,Here's a little present for you.,これは君をための小さなプレゼントだ。
그 이야기는 더 이상 하고 싶지 않아요. ,I don't want to talk about that anymore.,その話はこれ以上したくありません。 
누군가가 쓰레기를 버렸다.,Somebody threw away the gabage.,誰かがごみを捨てた。
판다가 주로 뭘 먹는지 알아?,Do you know what pandas mostly eat?,パンダが主に何を食べるか知ってる?
손 들어!,Raise your hand!,手を上げろ!
1996년 이전에는 한국에서는 초등학교를 국민학교라고 불렀다.,"Elementary school was called national school"" before 1996 in Korea.""""lementary school was called ""national """"ementary """,1996年以前には韓国では小学校を国民学校と呼んだ。
운동 많이 하세요?,Do you work out a lot?,運動たくさんしますか?
뜨거운 물 좀 주세요.,Please give me some hot water.,熱いお湯ちょっとください。
우리는 어렸을 때 같은 학교에 다녔다.,We went to the same school as children.,私たちは幼い頃同じ学校に通った。
오늘 아주 예쁜 여자를 봤어.,Today I saw a really pretty girl.,今日とてもきれいな女を見たの。
그건 칭찬으로 받아들일게요.,I'll take it as a compliment.,それは褒め言葉として受け取りますよ。
나랑 테니스 칠래? ,You want to play tennis with me?,私とテニスしようか? 
감기에 걸린 것 같아요.,I think I have a cold.,風邪をひいたようです。
할머니가 병원에 계셔.,My grandmother is in the hospital.,お婆さんが病院にいらっしゃる。
이거 정말 재미있네!,This is so fun!,これ本当に面白いね!
그 사람이 나를 모르는 게 분명했다.,It was clear that he did not know me.,その人が私を知らないのが明らかだった。
어젯밤부터 가슴이 아파요.,My chest was hurting since last night.,昨晩から胸が痛いです。
다른 사람과 같이 산다는 건 언제나 힘든 일이야.,It's always hard to live with someone.,他人と一緒に住むということはいつも大変な事なの。
직접 얘기해 보시지 그래요? ,Why don't you talk to him directly?,直接話して見たらどうですか? 
부산은 해산물로 유명하다. ,Busan is famous for its seafood.,釜山は海産物で有名だ。 
아기를 등에 업어라.,Carry the baby on your back.,赤んぼうを背に負いなさい。
저 청바지 요즘 엄청 유행이야. ,Those jeans are all the rage these days.,あのジーパンこのごろすごく流行だ。 
우와!? 저 선수는 서브가 아주 강한데!,Wow! she has a very strong serve.,ウワー! あの選手はサーブがとても強いな!
그 배는 바다 밑으로 가라앉았다.,The ship sank to the bottom of the sea.,その船は海の下に沈んだ。
대중교통을 이용하는 게 좋을 거야.,It is better to use public transportation.,大衆交通を利用するほうが良いだろう。
서울 가는 버스를 타.,Get on the bus for Seoul.,ソウル行きのバスに乗れ。
어린이날은 아이들에게 일 년 중 가장 즐거운 시기이다.,Children's day is one of the happiest times in a year for children.,子供の日は子供達にとって一年中で一番楽しい時期だ。
휴가 어떻게 지냈어? ,How did you spend your vacation?,休暇どう過ごした? 
나는 혜안에게 생일 선물로 시계를 주었다.,I gave her a watch for her birthday.,私はヘアンの誕生日プレゼントに時計をあげた。
한 남자가 검은색 가방을 들고 있었다.,A man was carrying a black bag.,一人の男が黒いかばんを持っていた。
그 건물은 이 길의 끝에 있습니다.,The building is at the end of this street.,その建物はこの道のお仕舞いにあります。
타이어 바꿀 줄 알아?,Do you know how to change a tire?,タイヤの変え方知ってる?
바람이 멈췄네.,The wind has stopped.,風が止んだね。
이 영화 진짜 재미없다.,I'm finding this movie extremely boring.,この映画本当につまらない。
왜 귀를 막는 거야?,Why are you plugging your ears?,どうして耳を防ぐのか?
문이 저절로 열렸어.,The door opened by itself.,扉が自然に開いた。
그 사람 어떻게 생겼어요?,What does he look like?,その人どんな顔してますか?
여기서는 사진을 찍을 수 없습니다.,You are not allowed to take pictures here. ,ここでは写真を撮ることができません。
119에 전화해!,Call 911!,119に電話して!
그 책 이리 줘봐.,Give me that book.,その本こちらによこしてみろ。
할아버지는 병원에 계세요. ,My grandfather is in the hospital.,お爺さんは病院にいらっしゃいます。 
일을 더 복잡하게 만들지 마.,Don't make things more complicated.,仕事をこれ以上複雑にするな。
좋은 생각이 떠올랐다.,A good idea occurred to me.,良い考えが浮んだ。
그 여자 나이보다 어려 보여요.,She looks younger than her age.,その女年より幼く見えます。
나 늦을 거야. 그러니까 기다리지 말고 자.,I'll be back late. So don't wait up for me.,私は遅くなりそうだ。 だから待たずに寝なさい。
오늘 날씨 정말 춥다! ,"Oh, it's very cold today!",今日の天気は本当に寒い! 
"그들은 쌍둥이지만, 성격은 완전히 다르다.","Although they are twins, their personalities are totally different.","彼らは双子だが, 性格はまったく違う。"
내일 저녁에 뭐 하세요?,What are you going to do tomorrow evening?,明日の夕方に何をしますか?
그녀가 행복하면 나도 행복하다. ,"As long as she is fine, I'm happy.",彼女が幸せならば私も幸せだ。 
나 내년에 결혼할 거야.,I'm going to get married next year.,私来年結婚するつもり。
"실례지만,  몇 시인지 아세요?","Excuse me, but do you have the time?","失礼ですが,  何時かご存じですか?"
김치냉장고가 필요해.,I need a refrigerator for kimchi.,キムチ冷蔵庫が必要なの。
가방이 없어졌어!,My bag is gone!,かばんが消えたの!
"그 사건 이후, 그 배우는 인기가 떨어졌다.","After the scandal, the actor lost his popularity.","その事件以後, その俳優は人気が落ちた。"
어젯밤에 너 완전히 취했었어. ,You were completely drunk last night.,昨晩お前完全に酔っていた。 
요즘 왜 그렇게 바빠?,Why are you so busy these days?,このごろどうしてそんなに忙しいの?
어느 쪽이 남쪽이야?,Which way is south?,どっちが南側なの?
경치가 정말 아름다워요.,The scenery is really beautiful.,景色が本当に美しいです。
종이를 반으로 접어라.,Fold the paper in half.,紙を半に畳め。
"몸은 여기 있어도, 마음은 다른 곳에 있구나.","Though present in body, your mind is elsewhere.","身はここにあっても, 心は他の所に行っているな。"
우리 대학은 백 년의 전통을 자랑한다.,Our university boasts a tradition that goes back 100 years.,我が大学は百年の伝統を誇る。
세상 참 좁네요!,What a small world!,世の中本当に狭いですね!
한국의 겨울은 아주 추워요.,Winter in Korea sure is cold. ,韓国の冬はとても寒いです。
뭐 샀니?,What did you buy?,何買ったの?
이번에는 안 돼!,Not this time!,今度はだめだ!
우리 지난주에 얘기하지 않았나요?,Didn't we talk just last week?,私たち先週話しませんでしたっけ?
저기 있는 여자 보여?,Can you see a woman over there?,あそこにいる女見える?
그 사람은 키가 크고 수염이 있어요.,He is tall and has a beard.,その人は背が高くてひげがあります。
높이 나는 새가 멀리 본다.,"The highter a bird flies, the farther it can see.",高く飛ぶ鳥が遠くを見る。
그럴 기분이 아니야.,I'm not in the mood.,そんな気分ではないよ。
왜 많은 사람들이 담배를 피울까요? ,Why do so many people smoke?,どうして多くの人がタバコを吸うのでしょうか? 
넌 왜 안 갔어?,Why didn't you go?,お前はどうして行かなかったの?
저는 심지어 이 기본적인 단어들도 몰라요.,I don't even know these basic words.,私は甚だしくはこの基本的な単語らも分かりません。
같은 색으로 다른 것 좀 보여주세요.,Show me another one in the same color.,同じ色で他の物ちょっと見せて下さい。
"너무 싱거우면, 소금을 넣어라.","If it's too bland, add some salt.","味が薄いなら, 塩を入れなさい。"
저희 식당은 신선한 재료만을 사용합니다.,My restaurant uses only fresh ingredients.,当食堂は新鮮な材料のみを使います。
슈퍼마켓 가는 중이야. 뭐 필요한 거 있어? ,I'm going to the supermarket. Do you want anything?,スーパーマーケットにいく所だ。 何か必要なものある? 
새 상품을 계획하는 것이 제 일입니다. ,It's my job to plan new products.,新しい商品を計画するのが私の仕事です。 
걱정하지 마. 그냥 내 어깨에 기대.,Don't worry. Just lean against my shoulder.,心配するな。 ただ私の肩に寄り掛かれ。
도움이 필요해요.,I need your help.,助けが必要です。
이 가방 정말 무겁다.,This bag is so heavy.,このかばん本当に重い。
일본을 하루 만에 다녀올 수 있나요?,Is it possible to go to Japan and get back in a day?,日本に日帰りで行って来ることができるんですか?
얼른 낫길 바랍니다.,I hope you will get better soon.,早く良くなる事を望みます。
그녀는 미국에서 아이를 낳았다.,She had a baby in the U.S.,彼女はアメリカで子供を生んだ。
영어 공부 어떻게 하셨어요? ,How did you study English?,英語の勉強どのようにしましたか? 
회의가 언제 끝날 것 같아요? ,When do you expect the meeting to finish?,会議いつ終わりそうですか? 
어제 눈 내리는 거 봤어?,Did you see the snow fall yesterday?,昨日雪降るの見たの?
도와드릴까요? - 어른 두 명하고 아이 한 명이요.,"May I help you? - Two adults and one child, please.",どうぞ - 大人二人と子供一人です。
특히 마지막 노래가 좋았어. ,I especially loved the last song.,特に最後の歌が良かったの。 
저는 매일 수십 통의 스팸 메일을 받아요.,I get dozens of spam mail everyday.,私は毎日数十通の迷惑メールを受けます。
어른 표 두 장하고 어린이 표 한 장 주세요.,"Two tickets for adults and one for a child, please.",大人の切符二枚と子供の切符一枚ください。
부인은 어디 계세요? 같이 안 오셨어요?,Where is your wife? Didn't you come with her?,奥さんはどこにいらっしゃいますか？ 一緒に来られななかったのですか?
나 새벽에 일어나야 해.,I have to wake up at dawn.,私早朝に起きなければならない。
이곳 음식은 너무 비싸네요.,The dishes here are pretty expensive.,ここの食べ物はとても高いですね。
그 사람은 가게를 구경만 하고 있었다.,The man was looking around the shop.,その人は店を見物ばかりしていた。
어느 대학 가고 싶어?,Which university do you want to go to?,どの大学行きたい?
많은 한국인들이 추석에 고향으로 간다.,Many Koreans return to their hometown during Chusok.,多くの韓国人が秋夕の時故郷に帰る。
하늘에 구름 한 점 없다.,There are no clouds in the sky.,空に雲一点ない。
"차례가 되면, 앞으로 나오세요.",Please come to the front when it's your turn.,"順番になれば, 前に出てください。"
가을에는 책을 읽기 좋다.,It is good to read books in the fall.,秋には本を読みやすい。
맵고 짠 음식은 몸에 좋지 않아요.,Spicy and salty foods are not good for the body.,辛くて塩辛い食べ物は体に良くないです。
길을 막고 거기 서 있지 마라.,Don't stand there blocking the gateway.,道を防いでそこに立つな。
감기 조심하세요.,Be careful not to catch a cold.,風邪引かないように気をつけてください。
욕심엔 끝이 없다.,Greed has no limits.,欲心には終りがない。
요즘은 공중전화를 보기가 힘들어.,"These days, it is hard to find a pay phone.",このごろは公衆電話をあまり目にしない。
니 웃는 모습이 좋아.,I like the way you smile.,お前の笑う姿が好き。
내일은 특별한 날이야.,Tomorrow is a special day. ,明日は特別な日だ。
그 영화에서 가장 좋은 부분이 뭐였어?,What was your favorite part in that movie?,その映画で一番良い部分は何だった?
많은 부부가 성격 차이로 이혼한다.,Many couples get divorced because of their personality differences.,多くの夫婦が性格の違いで離婚する。
안녕히 가세요.,Take care.,さようなら。
집에서 음악 많이 들으세요? ,Do you listen to much music at home?,家で音楽たくさん聞きますか? 
오늘 늦게 일어났어요?,Did you get up late today?,今日遅く起きましたか?
시간이 지나면 다 잊힐 거야.,All will be forgotten as time goes by.,時間が経てばすべて忘れるだろう。
그녀의 눈이 진짜 마음을 나타내고 있었다.,Her eyes expressed her true feelings.,彼女の目が本当の気持ちを現わしていた。
에쿠우스는 라틴어로 말이라는 뜻이다.,Equus means horse in Latin.,エクウスはラテン語で馬という意味だ。
만나서 반갑습니다.,Glad to meet you.,お会いできて嬉しいです。
난 순수한 이미지의 여자가 좋아.,I like girls who look pure.,僕は純粋なイメージの女が好きだ。
이태원에는 외국인이 많아요.,There are many foreigners in Itaewon.,梨泰院には外国人が多いです。
라면을 너무 오래 두면 맛없어.,"If you let the ramen sit for too long, it tastes bad.",ラーメンをあまり長くほって置くとまずくなる。
이별 선물이야.,This is a farewell present.,お別れプレゼントだ。
인천 공항까지 좀 태워주실래요?,Can you give me a ride to Incheon airport?,仁川空港までちょっと乗せてくださいませんか?
우리 어머니는 삼 년 동안 아프셨다.,My mother has been sick for three years.,うちの母は３年間具合が良くなかった。
"이상하게 들릴지도 모르지만, 내가 한 말은 사실입니다.","Strange as it may sound, what I said was true.","変に聞こえるかも知れないが, 私の言った言葉は事実です。"
똑바로 서서 똑바로 말해 봐.,Stand straight and speak clearly.,しゃんと立ってはっきり言って見ろ。
그 사람은 침대에 누워 책을 읽고 있었다.,He was lying on the bed reading a book.,その人はベッドに横になって本を読んでいた。
돈을 지갑에 넣어 다니세요?,Do you carry your money in a wallet?,お金を財布に入れて歩きますか?
서둘러. 우리 늦겠다.,Hurry up. We are going to be late.,急いで。 私たち遅れる。
나는 역사 교수가 되고 싶어.,I want to be a history professor.,私は歴史教授になりたい。
봉투에 우표 붙였어?,Did you stick a stamp on the envelope?,封筒に切手付けたの?
지나가는 사람에게 물어보자. 그게 더 빨라.,Let's ask people walking by. It's faster.,通り過ぎる人に聞いて見よう。 それがもっと早い。
그대로 내버려둬라.,Leave it as it is.,そのまま放っておきなさい。
나는 이 신발을 3만 원에 샀다.,I bought this pair of shoes for thiry thousand won.,私はこの靴を3万ウォンで買った。
그 사람 원래 성격이 밝아요. ,He originally had such a pleasant personality.,その人は元々性格が明るいです。 
개가 모자를 쓰고 있다니 웃기지 않니?,Isn't it funny that the dog is wearing a hat?,犬が帽子をかぶっているなんて面白くない?
그는 작년에 끔찍한 병에 걸렸다.,He suffered from a terrible disease last year.,彼は去年にひどい病気にかかった。
가장 가까운 서점이 어디인가요?,Can you tell me where the nearest bookstore is?,一番近くの書店はどこでしょうか?
사실 빵은 칼로리가 높다.,"Actually, bread has many calories.",実はパンはカロリーが高い。
올해는 담배를 끊기로 결심했어요.,I've decided to quit smoking this year.,今年はタバコをやめることに決心したんです。
사람들 앞에서 웃으려고 노력했다.,I made an effort to smile in front of others.,人前で笑おうと努力した。
부자가 되는 빠른 방법이 없을까?,Isn't there a quicker way to become rich?,金持ちになる早い方法がないだろうか?
다쳤어? 이 약 먹어.,Did you get hurt? Take this medicine.,けがをしたの? この薬飲んで。
그 기사의 대부분은 거짓이야.,Most of the article is false.,その記事の大半は偽りだ。
이번 주 농구 연습에 안 가서 팀에서 쫓겨났어.,I got kicked off the basketball team because I didn't go to the practice this week.,今週バスケットボールの練習に行かなくてチームから追い出されたの。
나는 그에게 그 일을 어서 끝내라고 말했다.,I told him to get the work done quickly.,私は彼にその事をはやく終わらせなさいと言った。
이 사탕은 한 개에 100(백)원이다.,These candies cost a hundred won a piece.,このキャンディーは一つ百ウォンだ。
노란 장미보다 붉은 장미가 마음에 들어요. ,I prefer red roses to yellow ones.,黄色いバラより赤いバラが好きです。 
그는 우연히 알려지지 않은 동물을 발견했다.,He accidently found an unknown animal.,彼は偶然に知られていない動物を見つけた。
안전벨트 풀어도 돼요?,May I unfasten my seat belt?,安全ベルト外しても良いですか?
특별한 능력이 있는 사람만이 이 일을 할 수 있다.,Only one with special abilities can do this work.,特別な能力がある人だけこの事ができる。
어떤 사람을 좋아하세요?라고 어떤 사람이 물었다.,What kind of person do you like? asked a certain guy.,どんな人が好きですか?とある人が問うた。
아내가 어젯밤 아들을 낳았어.,My wife gave birth to a son last night.,妻が昨晩息子を生んだ。
다른 곳으로 수영하러 가자.,Let's go swimming somewhere else. ,他の所へ泳ぎに行こう。
하루 종일 역사 시험 공부를 했어. ,I studied all day long for the history test .,一日中歴史の試験勉強をしたの。 
숙제 했어?,Did you do your homework?,宿題したの?
"무엇보다도, 스트레스를 줄이는 것이 중요합니다.","First of all, it is important to reduce your stress.","なによりも, ストレスを減らすのが重要です。"
"이런, 지갑을 교실에 두고 왔어.","Oops, I left my wallet in the classroom.","あれ, 財布を教室に残して来た。"
무슨 일을 하세요?,What kind of work do you do?,何の仕事をしていますか?
지난 주말에 이미 거기 가 봤어. ,I already went there last weekend.,先週末既にそこへ行った。 
그곳 날씨는 어때요? ,How's the weather over there?,そこの天気はどうです? 
그 사람을 보니까 이상한 감정이 들더라고.,I got a strange feeling when I saw him.,その人を見ると変な感情を感じた。
휴지는 휴지통에 버리세요. ,Put your wastepaper into the waste basket.,紙くずはごみ箱に捨ててください。 
그때 이후로 그녀를 본 적이 없다. ,I have not seen her since then.,あの時以降彼女を見た事がない。 
다음 해에 다시 한국에 올 거예요. ,I'll be back to Korea again next year.,来年また韓国へ来ます。 
나 고양이 키우고 싶어.,I want to raise a cat.,私猫飼いたい。
이 물건들은 모양이 다르다.,These products are different in shape.,この品物は形が違う。
공원에서 오른쪽으로 도세요.,Turn right at the park.,公園で右側に曲がってください。
모든 직원들이 다 알아요.,Every employee knows about it.,すべての職員が皆知っています。
아직도 혼자 집을 청소하세요?,Do you still clean your house by yourself?,未だに一人で家を掃除してますか?
내 여동생은 나랑 성격이 반대예요.,My sister is the complete opposite of me.,私の妹は私と性格が反対です。
여자가 두 명 있어요.,There are two girls there.,女が二人います。
이 버스가 플라자 호텔 지나가나요?,Does this bus pass by the Plaza Hotel?,このバスはプラザホテルを通過しますか?
과자 내 거 좀 남겨둬.,Leave some cookies for me.,私の分のお菓子ちょっと残しておいて。
바다가 보이는 조용한 방이에요.,"Yes, it's a quiet room with a fine view of the ocean.",海が見える静かな部屋です。
나는 갑자기 가슴에 심한 통증을 느꼈다.,I suddenly felt a sharp pain in my chest.,私は急に胸にひどい痛みを感じた。
아버지는 무슨 일을 하시니?,What does your father do for a living?,お父さんは何のお仕事をなさってるの?
어느 쪽이 남쪽입니까?,Which way is south?,どっちが南側ですか?
숲에서 길을 잃었어.,I got lost in the forest.,森で道に迷ったの。
그 애는 나를 자기 생일 파티에 초대하지 않았다.,She didn't invite me to her birthday party.,あの子は私を自分の誕生日パーティーに招待しなかった。
혜안과 나는 결혼한 지 3개월 되었다.,Hyean and I have been married for three months.,へアンと私は結婚してから3ヶ月になった。
거울을 보세요.,Look at yourself in the mirror.,鏡を見てください。
칠판에 써 볼 사람? ,Who can write it on the board?,黒板に書いて見たい人? 
책상 위에서 연필과 지우개 외에는 모두 치우세요.,Clear everything off your desk except for your pencils and erasers.,机の上に鉛筆と消しゴム以外は皆片付けてください。
일본어 공부는 잘 되고 있어요? ,How are you doing with learning Japanese?,日本語の勉強はうまく行っています? 
니가 화낼 이유가 없는 것 같은데.,I don't think you have a reason to get angry.,お前が怒る理由はないようだが。
이 치약은 딸기 맛이 난다.,This toothpaste is strawberry-flavored.,この歯磨き粉はいちごの味がする。
고마워요.,Thank you.,ありがとう。
몇 층 가세요?,Which floor do you want?,何階に行かれますか?
너 가서 세수 좀 해야겠다.,You need to go wash your face.,お前ちょっと顔洗って来た方が良い。
머리를 부딪친 후로 머리가 자꾸 빠져요.,My hair has been falling out since I got hit on the head.,頭をぶつけて以来髪がしきりに抜けます。
그녀는 아름다운 목소리를 가지고 있다.,She has a beautiful voice.,彼女は美しい声を持っている。
부엌에 떡이 좀 있어.,There is some rice cake in the kitchen.,台所に餠がちょっとある。
몇 시야? - 3시 40분.,What time is it? - It's three forty.,何時? - 3時40分。
진작 말씀하시지 그러셨어요.,You should have said it earlier.,とうにおっしゃったら良かったんです。
화장은 하는 것보다 지우는 것이 더 중요하다.,Removing makeup is more important than putting it on.,化粧はするより消すのがもっと重要だ。
우리는 종교의 자유가 있다.,We have freedom of religion.,私たちには宗教の自由がある。
빌리 진은 내 애인이 아니에요.,Billie Jean is not my lover.,ビリージンは私の恋人ではありません。
교실에는 남학생이 거의 없었어.,There were few male students in the class.,教室には男子学生がほとんどいなかった。
지금 몇 시야? - 세 시 반.,What time is it now? - Half past three.,今何時? - 三時半。
그 남자 결혼식은 어디에서 하죠?,Where is he going to have the wedding ceremony?,その男の結婚式はどこでしますか?
그녀는 넓은 집에서 살고 싶어한다.,She wants to live in a large house.,彼女は広い家で暮したがる。
여기서 기다릴게.,I'll wait here.,ここで待ってるよ。
그 아이는 사탕을 빨고 있었다.,The child was sucking on a candy.,その子供はキャンディーをしゃぶっていた。
의사 선생님은 지금 다른 환자를 보고 계세요.,The doctor is with another patient right now.,お医者さんは今他の患者を見ていらっしゃいます。
코너에서 오른쪽으로 도세요.,Turn right at the corner.,コーナーで右側に曲がってください。
저자는 책 속에 서명을 했다.,The author signed the inside cover of the book.,著者は本の中に署名をした。
"나를 보자마자, 그는 웃음을 터뜨렸다.","As soon as he saw me, he burst out in laughter.","私を見るやいなや, 彼は笑いを噴き出した。"
그 다큐멘터리는 사회의 현실을 반영한다.,The documentary reflects the reality of society.,そのドキュメンタリーは社会の現実を反映する。
몇 가지 질문이 있는데요. 몇 살이세요? 형제는 몇이세요?,I have several questions. How old are you? How many brothers do you have?,いくつか質問があるんですが。 何才ですか？兄弟は何人ですか？
고향에 오래간만에 오신 건가요? ,Has it been a while since you've been back to your hometown?,故郷に久し振りにいらっしゃったんですか? 
기분이 어때? - 별로야.,How do you feel? - Not good.,気分どう? - あんまり良くない。
그만 찾아도 돼. 내가 찾았어!,Stop searching. I found it!,もう探さなくてもいいよ。 私が見つけた!
태권도를 했다니 안 믿어지는데.,I can't believe you learned Taekwondo.,テクォンドーをやってたなんて信じられないが。
조금만 더 주세요. ,"Just a little more, please.",もうちょっとください。 
커피 한 잔 하시겠어요?,Would you like a cup of coffee?,コーヒー一杯飲みますか?
좋은 생각이야.,That's a good idea.,良い考えだ。
